Date,Bitcoin (USD),Ethereum (USD),Gold (USD per oz),Cardano (ADA),Binance Coin (BNB),Ripple (XRP),Dogecoin (DOGE),Solana (SOL)
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.00016977130492016137,0.00016094326944995574
2015-01-02,0.0001805009202990174,0.00021611510496267732,0.0014876346527579777,0.0004495682191633969,0.0002970505982155001,0.00033530111140947543,0.001291013141177123,0.0
2015-01-03,0.0007531810235194706,0.00036331942843479623,0.0014360669619667887,0.00036482092879747753,4.881195443370838e-05,0.0005441453131489046,0.0005892006773150264,0.0007321694562897673
2015-01-04,0.0017626438773553077,0.00041990230811388835,0.0004095014745789683,0.0009006656760874981,2.2754509007640957e-05,0.0009008234614641924,0.00034242644752959834,0.0011908503108442351
2015-01-05,0.0018952975266251708,0.0006866062651196276,0.0004906919023564593,0.0018976778616534725,0.00023859976308057923,0.0007650321970145073,0.0,0.0013181767765878048
2015-01-06,0.0020279593681286267,0.000897290562166613,0.0022488444087412746,0.0017006689973962266,0.001245037078563593,0.00032465519573958955,0.001120835870224362,0.0013247444983769659
2015-01-07,0.0030654567119398567,0.0010660071564821392,0.0026812982968217294,0.001866893295194053,0.0015371354817645697,0.0008389026268318476,0.001063425653512242,0.002045428315760163
2015-01-08,0.0036978884453068702,0.0011389413366995817,0.0029547030440703697,0.0023983003136811135,0.0024768920136176644,0.0009156275005068622,0.0005822638387522282,0.002233246557857214
2015-01-09,0.0037131202884710186,0.0014933606667986673,0.004920149328104613,0.0023761777423933097,0.002818806682916342,0.0014894371059971366,0.0011153972101041081,0.002126367332950977
2015-01-10,0.00423334278225177,0.002206112217006781,0.003689821240215665,0.0029094293788377136,0.0029075509876023272,0.001398180987081192,0.001784757973486745,0.0021883961016473307
2015-01-11,0.004251596828328481,0.002512281611483982,0.0026112912109117026,0.0034988727277410255,0.0037992450128069544,0.002421140972130499,0.0024581273437303676,0.002870428871838225
2015-01-12,0.004268697189281162,0.0030484314055667277,0.0011888233714098695,0.004413986639560823,0.0042314789148546,0.003222602813022708,0.002539282693614327,0.0022736506635696626
2015-01-13,0.0046389257104871824,0.002943619274073345,0.0018372835310390128,0.004286898919859954,0.004213672350305867,0.003648051803083836,0.0029521430664311353,0.0023513496105111156
2015-01-14,0.003933719158778075,0.0032545896127223195,0.0022710424426650323,0.003952028041863508,0.0046598916521459225,0.003801135393809527,0.0027943036298912066,0.003195333951373957
2015-01-15,0.0033225027464219617,0.0032284368509386957,0.004138096962603591,0.00400904914085537,0.004788019629847694,0.004523225524827973,0.004103025560760829,0.00337362437461133
2015-01-16,0.003291422163588836,0.003100336621313497,0.004652029122435432,0.0036587683794338604,0.0042090635370010615,0.004999782562736725,0.005077063310194447,0.0037889130652308065
2015-01-17,0.003035526797225935,0.0031703404743814558,0.004491481354989075,0.004253825663694347,0.004849264492065278,0.005394133976563029,0.0060124674721138294,0.004641595438781386
2015-01-18,0.003441824526093494,0.0037590763358235435,0.004753714421760509,0.0037838552085264006,0.005555721108606443,0.006217914346554782,0.006765679563754364,0.0053897919186449966
2015-01-19,0.003238226370384269,0.004282843203531765,0.005136665205926204,0.005470018356223334,0.006571867000594874,0.0072465476001401284,0.007345819420448732,0.005422002548434293
2015-01-20,0.0027829999213045296,0.004616709565150543,0.0036559646076176466,0.0065163388401545536,0.006997901377568715,0.006844813553799459,0.0068132211907664655,0.005620618043336132
2015-01-21,0.003763830436301265,0.004473628211872341,0.00673901724042574,0.006770881788995497,0.007144315133588761,0.006550947594538878,0.007464996251228091,0.006375496317851559
2015-01-22,0.0039006641253461643,0.0046895041855695525,0.007540803376051383,0.007552814116007823,0.007742425586478491,0.006401308304748216,0.007789379151061287,0.007149024340205378
2015-01-23,0.004183852551518879,0.00503913587898168,0.008019881396879414,0.006789756232170809,0.008346717645196816,0.005866084881616739,0.00883857873487981,0.0073703939313561435
2015-01-24,0.0037224164831496176,0.005354880458995662,0.008920910882763334,0.008593362074215986,0.009279643941793906,0.006099546063100416,0.009600182111501673,0.0076103051984613085
2015-01-25,0.0037002701408115207,0.00512824069755664,0.009920094388200223,0.008476007173929297,0.009511125803299313,0.006686929988438413,0.010199653269244761,0.008022835547504355
2015-01-26,0.004005111742099742,0.0051577009082593,0.010034078024229351,0.008648449226315576,0.009692194564159163,0.0069424585728584745,0.009389603241539713,0.009026052365531457
2015-01-27,0.003680275293239653,0.00540908607687341,0.009637032480000965,0.007750195912516634,0.00964403509767661,0.006924240043634581,0.009585772264611905,0.009868415702811597
2015-01-28,0.004117236032053049,0.005821727997895861,0.010521697270824795,0.008297000162042942,0.010118134732737278,0.007792652780508534,0.00948617861889244,0.01050970616783896
2015-01-29,0.0040670187706468765,0.005500452594370757,0.011183761598771257,0.007861213725013071,0.009722894736523786,0.008134664330942386,0.009897671245397265,0.0101987465367632
2015-01-30,0.004170960598860365,0.005725502921880217,0.010600661172376853,0.008170715509317488,0.010296454531526738,0.008584757266107733,0.009887863867641362,0.010319744356634682
2015-01-31,0.004120210459553297,0.006032521493234931,0.012338886903173956,0.00808170388453268,0.010791549888427954,0.009468000970445194,0.009966113507194977,0.010468979225438525
2015-02-01,0.005293963502114057,0.00652932026966416,0.012904763678951058,0.007663562654563314,0.01128549281370325,0.009669162972709004,0.010507966023831892,0.011499915932534204
2015-02-02,0.005536721402280237,0.006984015406665718,0.0139252015985661,0.007414087584429844,0.011593188621152741,0.01103613515507639,0.01048769427714328,0.011640242429789881
2015-02-03,0.005258431655751794,0.007409088070379864,0.015635188560774,0.007800174076372446,0.01248222415081883,0.011063998230593007,0.010816698390671708,0.012582490369900761
2015-02-04,0.005918362579197585,0.007462823292740349,0.015918348573446005,0.00725632897410658,0.013095758063654346,0.012397724868953013,0.010110607342624657,0.01254449901038807
2015-02-05,0.0055586719469687615,0.007218937356923147,0.016508803660176995,0.007041125954747271,0.013092808256458456,0.012144250054247342,0.009837861613915143,0.012549397699984937
2015-02-06,0.0059123847037663105,0.007381961088127919,0.01761277448546565,0.007697123620711353,0.013097318480270952,0.012687514608992348,0.010503981846537738,0.013076801900078929
2015-02-07,0.005184030268341999,0.007919591817058882,0.017118227964831863,0.009549535074555271,0.012980749097938707,0.012611412570520666,0.009980321854592519,0.014188162331981556
2015-02-08,0.004770777320156435,0.008562464640167595,0.01743488413456917,0.010090972702400622,0.013460609494421703,0.013476145661823565,0.011018395287897245,0.014343044716890761
2015-02-09,0.005118501072062415,0.00902191165192998,0.017826001143718396,0.009771842706352462,0.013293829679298718,0.013487767900705216,0.01188532468996206,0.013234574715368725
2015-02-10,0.005736478114893724,0.009405827184634707,0.01709067282979452,0.00979213196408804,0.013995475571721042,0.013910036854307957,0.011968441247697116,0.01266271425573079
2015-02-11,0.006071481248415545,0.00977639317008836,0.01976475138331227,0.010058405328662586,0.014796980038865785,0.013829658137907921,0.014112259574223155,0.013091515025672035
2015-02-12,0.006263267237390499,0.00989561799392075,0.018559482168047647,0.010089608135883754,0.01468068472420942,0.014597034137129063,0.015148679445041772,0.012567688678913114
2015-02-13,0.006362513637749778,0.010129280504984203,0.017467928961195634,0.010893543540509702,0.014853430076158327,0.014513874044018533,0.014802210602140963,0.01237124610569675
2015-02-14,0.005874245213134788,0.01084618247300118,0.01909700078217227,0.011274500282951924,0.015110440648771196,0.01567966224401519,0.015525182410301142,0.012646563407902229
2015-02-15,0.005764546109435232,0.01086161117513732,0.020100199378618948,0.012081393530769464,0.015728971923813874,0.015414835073896625,0.01581903469418855,0.011599031519408522
2015-02-16,0.005784186797619624,0.011563930857277707,0.019292066824255036,0.012134178331802236,0.01664983680390495,0.014963329923078219,0.015581416140003673,0.011663663297396949
2015-02-17,0.006561168432997488,0.011746031527792935,0.02018489488294394,0.013198743792297013,0.01619739838567005,0.015738355470046442,0.015158857783378485,0.01130641498227228
2015-02-18,0.0069821218477176955,0.012370633786883209,0.02197395907355744,0.013342812960565003,0.016314862009761746,0.0156894242856308,0.0160387141658008,0.010769485566267655
2015-02-19,0.006351882943579361,0.012261364815765891,0.022202805243579326,0.012990411379203821,0.01645406784756429,0.015952524505345064,0.015913856174107094,0.010607100650352908
2015-02-20,0.006763089012985907,0.012687332679060623,0.02516972652055414,0.01458051622354282,0.016120344824673324,0.016047435083516828,0.01610190352167912,0.010301224730088774
2015-02-21,0.006820431305191733,0.01275803522380665,0.02363455725814547,0.013701361255000696,0.016168231517826235,0.015613560077423795,0.01577325617862309,0.010822194519555964
2015-02-22,0.006732149767097032,0.012646496028494318,0.02461750705361677,0.013492372845164446,0.016596610526788343,0.015839415368303925,0.015553648717922409,0.011733857477170479
2015-02-23,0.007286860274962417,0.01297378965822082,0.026092757782632443,0.013352305630529143,0.016730538696068824,0.0167817549009399,0.01572589349116846,0.011806710448549158
2015-02-24,0.008050807056224532,0.013513526171631068,0.027281416265379638,0.015146615692881057,0.01633681607750074,0.01758432312825196,0.016223054961096266,0.011755055318363924
2015-02-25,0.008764995286865323,0.013555174314084676,0.02732895272887252,0.01650816043068928,0.017784830352894337,0.017975048404104337,0.014842704414624434,0.011801158995008993
2015-02-26,0.008595730612901762,0.013421140516664676,0.027286834739211556,0.017676639265601382,0.018145857427628073,0.018835884976583808,0.015105684770957157,0.011474337360385528
2015-02-27,0.008690930898226147,0.013665067574170464,0.028009755801575293,0.017719420131216444,0.018442494943107665,0.018537141856243722,0.014887362140547719,0.011050490961378138
2015-02-28,0.009105719416099988,0.013910178989370433,0.02911969129893334,0.019463060296377392,0.018234956854786127,0.018630336827512233,0.016024237802947164,0.01043490412312067
2015-03-01,0.00984199525022593,0.014326051778510119,0.030007504148266907,0.019937103124910427,0.01859370329745648,0.019108632938723787,0.01813274472378804,0.009989144270579698
2015-03-02,0.009852387006546977,0.014849705498101294,0.03135104158073553,0.02078682020826506,0.018775341075419893,0.01930596512908961,0.018158430272710125,0.011134812728283311
2015-03-03,0.010009238664217532,0.01510234301882076,0.030550298005279086,0.021144469354455093,0.018238278357580854,0.019441143459747,0.017324408624554744,0.011032486136298933
2015-03-04,0.009706686217301416,0.01586932039660983,0.03057344853352099,0.021360734630259205,0.018042273642260617,0.01906704955015017,0.017650438930625668,0.009720427728829747
2015-03-05,0.009359289107279657,0.01619814521334082,0.029854827888335957,0.021452181332173966,0.018623685474473736,0.018222725744490936,0.017773168204610838,0.009673645923414437
2015-03-06,0.0100142206488041,0.016373692579025243,0.029713072536879184,0.021569625935048752,0.01968404419194586,0.018926372663021957,0.019268944226547333,0.00908768963353297
2015-03-07,0.010940457773140188,0.016209427902113157,0.031030743348883217,0.02219182543645105,0.02008716335602662,0.019323200110708615,0.02057248606601022,0.009388340173885406
2015-03-08,0.01115401857784797,0.016407474762964513,0.03140356754626901,0.02266515739998261,0.02079701660752394,0.020071767507173488,0.021370646194953644,0.009631041465544634
